record_id,publish_date,discovered_date,province,city,organization,title,category,domain,stage,summary,change_summary,source_url,attachment_name,attachment_url,source_type,official,first_seen,last_seen,status,confidence,notes
RWE-NHSA-PILOT-2025-01,2025-09-23,2026-09-09,,,国家医疗保障局,国家医疗保障局办公室关于开展真实世界医保综合价值评价试点工作的通知,试点政策,真实世界医保综合价值评价（药品/医疗服务/医用耗材）,,国家医保局印发《关于开展真实世界医保综合价值评价试点工作的通知》（医保办发〔2025〕15号），面向北京市、辽宁省、江苏省、浙江省、福建省、广东省、海南省、重庆市、四川省、陕西省、甘肃省等11个先行地区部署试点，分启动(2025年底前)/实践(2026)/应用(2027)三阶段推进，目标到2027年底形成全国统一评价体系并推广。,首次基线记录,http://www.nhsa.gov.cn/art/2025/9/23/art_109_17984.html,医保综合价值评价试点先行地区名单及任务分工、参考应用场景,,政府官网,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实；同一来源的阶段分类存在冲突；需人工核实
RWE-NHSA-NETWORK-2026-01,2026-01-16,2026-09-09,,北京,国家医疗保障局,真实世界医保综合价值评价国家可信评价点网络正式组建,试点推进,真实世界医保综合价值评价,,1月16日，真实世界医保综合价值评价国家可信评价点网络在北京正式组建并现场签约，北京大学人民医院等79家头部医疗机构共同签署《真实世界医保综合价值评价国家可信评价点网络公约》，国家医保局副局长施子海出席致辞。,首次基线记录,http://www.nhsa.gov.cn/art/2026/1/16/art_14_19377.html,,,政府官网,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实；同一来源的阶段分类存在冲突；需人工核实
RWE-NHSA-MEMBER-2026-01,2026-01-16,2026-09-09,,北京,国家医疗保障局,国家医保局办公室关于发布真实世界医保综合价值评价国家可信评价点网络公约和成员名单的公告,试点推进,真实世界医保综合价值评价,名单发布（实践阶段）,国家医保局办公室发布公告，公布首批79家国家可信评价点网络公约全文及成员名单（含北京协和、北大人民医院、天坛、宣武等），明确各成员对接部门及联络员，均由医保价格和招标采购指导中心人员担任网络联络员。,首次基线记录,https://www.nhsa.gov.cn/art/2026/1/16/art_109_19379.html,真实世界医保综合价值评价国家可信评价点网络公约；网络成员联系方式,,政府官网,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
RWE-NHSA-MEDGUIDE-2026-01,2026-01-05,2026-09-09,,,国家医疗保障局,关于《医疗服务真实世界医保综合价值评价管理指南（试行）》公开征求意见的公告,征求意见,医疗服务真实世界医保综合价值评价,征求意见,为加快建立全国统一的医疗服务真实世界医保综合价值评价体系，国家医保局起草《医疗服务真实世界医保综合价值评价管理指南（试行）》并公开征求意见，反馈截止2026年1月16日17:00。,首次基线记录,https://www.nhsa.gov.cn/art/2026/1/5/art_109_19241.html,,,政府官网,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
RWE-NHSA-DRUGGUIDE-2026-01,2026-01-14,2026-09-09,,,国家医疗保障局,关于《药品真实世界医保综合价值评价系列指南（试行）》公开征求意见的公告,征求意见,药品真实世界医保综合价值评价,征求意见,国家医保局医药价格和招标采购指导中心起草《药品真实世界医保综合价值评价系列指南（试行）》（含管理、同行评议、检查、有效性安全性、经济性、研究人群选择等子指南）并公开征求意见，反馈截止2026年1月30日17:00。,首次基线记录,http://www.nhsa.gov.cn/art/2026/1/14/art_109_19359.html,药品真实世界医保综合价值评价系列指南（试行）,,政府官网,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
JL-RWSZ-202605-001,2026-05-26,2026-09-09,吉林,长春,吉林省医疗保障局,关于拟入选“吉林省真实世界医保综合价值评价研究基地”结果的公示,真实世界医保综合价值评价,医保综合价值评价/研究基地建设,省级研究基地遴选公示,吉林省医保局贯彻国家医保局真实世界医保综合价值评价试点工作部署，按照公开征选省级研究基地通知要求，经自主申报、材料审核、综合评审，拟确定吉林大学第一医院、吉林大学第二医院、吉林大学中日联谊医院、吉林省人民医院、吉林省肿瘤医院、延边大学附属医院6家医疗机构为省级研究基地并公示（2026年5月26日-28日）。,首次披露吉林省启动省级真实世界医保综合价值评价研究基地遴选并公示拟入选名单。,https://ybj.jl.gov.cn/ybxw/gsgg/202605/t20260526_9631973.html,,,政府网站,yes,2026-09-09,2026-09-09,新增,medium,吉林省不在国家11个试点先行省名单，属省级自主推进。公示为拟入选名单，最终确定名单待后续文件核验。
RWS-ZJ-002,2026-04-22,2026-09-09,浙江,,浙江省医疗保障局,浙江省医疗保障事业“十五五”规划（征求意见稿）提出构建真实世界研究的医保综合价值评价体系,规划文件,医保综合价值评价体系建设,规划编制/公开征求意见,2026年4月22日，浙江省医保局就《浙江省医疗保障事业“十五五”规划（征求意见稿）》公开征求意见（截止2026年5月6日）。征求意见稿提出构建真实世界研究的医保综合价值评价体系，依托全省统一医保信息平台建设覆盖数据治理、证据生成、政策评估与决策支持的全链条RWS支撑体系，拓展真实世界证据在医保目录调整、集采品种遴选、支付标准制定等核心场景的应用。,首次基线：浙江省级规划明确建设真实世界医保综合价值评价体系,http://ybj.zj.gov.cn/col/col1229228999/art/2026/art_98f9e74be24a4a7d8e934c1559e2522b.html,浙江省医疗保障事业“十五五”规划（征求意见稿）.pdf,http://ybj.zj.gov.cn/api-gateway/jpaas-web-server/front/document/download?fileUrl=YW5UzzlvCwcM%2FNHHX%2FtT6GAqXYHz80hrIVUB%2FsuzHUzj34LUMXbMNiveDqm08oH6og58jjHr3E%2BdcBMmE%2BSqn2O%2BrqGdhkUo8zKV%2Bd22nsOf%2B1hKq8rc6ZXbx%2BY9L3a1AxXz7h7FD5o%2FI20vg%2FfcYjeLhD2CQlyclUQ%2FVxR1Izo%3D&fileName=%E6%B5%99%E6%B1%9F%E7%9C%81%E5%8C%BB%E7%96%97%E4%BF%9D%E9%9A%9C%E4%BA%8B%E4%B8%9A%E2%80%9C%E5%8D%81%E4%BA%94%E4%BA%94%E2%80%9D%E8%A7%84%E5%88%92%EF%BC%88%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF%29+.pdf,政府网站,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
JX-RWSJ-2025-01,2025-12-16,2026-09-09,江西,,江西省医疗保障局（办公室）,关于开展真实世界医保综合价值评价试点工作的通知,政策文件/试点部署,真实世界医保综合价值评价,全省部署启动,江西省医保局办公室2025年12月发文，决定在全省开展真实世界医保综合价值评价试点，依托全省医保信息平台创建真实世界研究数据库，2026年1月底前遴选省级可信评价点、各设区市至少确定1个应用场景，2025年底前产出1-2项研究成果，2027年底前推广成熟成果。,首次基线收录：江西省自行启动全省范围真实世界医保综合价值评价试点。,https://ybj.jiangxi.gov.cn/jxsylbzj/col/col28422/content/content_2004097718561017856.html,,,政府官网（省医保局）,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
FJ-RWSJ-2026-01,2026-05-12,2026-09-09,福建,,福建省医疗保障局,省医保局召开全省真实世界医保综合价值评价工作推进会,工作推进/会议,真实世界医保综合价值评价,实施推进,福建省医保局2026年5月召开全省真实世界医保综合价值评价工作推进会，副局长林挺华出席，各地市医保部门及国家可信评价点医院汇报进展，提出对标先进、服务决策、因地制宜、协同联动、规范有序五项重点要求。,首次基线收录：福建省（国家试点省）部署推进会，推进试点地市与可信评价点医院工作。,https://ybj.fujian.gov.cn/jggk/jldhd/202605/t20260513_7147503.htm,,,政府官网（省医保局）,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
HN-OBSBASE-202601,2026-01-27,2026-09-09,海南,海口,海南省医疗保障局,海南省医疗保障局关于真实世界研究观察基地增补结果的公示,真实世界医保综合价值评价,真实世界研究观察基地/可信评价点,基地遴选公示,依据《国家医保局办公室关于发布真实世界医保综合价值评价国家可信评价点网络公约和成员名单的公告》及本省公开征选观察基地通知，在前期遴选4家观察基地基础上，拟新增海南医科大学第一附属医院、海南医科大学第二附属医院、海口市人民医院、海南海控乐城医院（四川大学华西乐城医院）4家为“海南省真实世界数据医保创新应用研究基地”，公示期2026年1月28-30日。,首次基线记录：海南推进真实世界医保综合价值评价试点，增补观察基地名单公示,https://ybj.hainan.gov.cn/xxgk/tzgg/202601/t20260128_4018307.html,,,官方网站,是,2026-09-09,2026-09-09,待核实,low,模型未提供可核验原文引文；需人工核实
